# File: electricity_water_coef_HK_direct_seawater.csv
# Title: average electricity water coeffcient by China provinces
# Units: m^3/GJ
# Source: original GCAM water-electricity workbooks. Many values from Macknick et al and IEAGHG. Estimated with ChatGPT investigation (based on related HK report. Core assumption including 1 HK thermal power plants use direct/once-through seawater cooling where cooling is needed. 2 Freshwater withdrawal and freshwater consumption for cooling are set to 0. 3 OCGT peak units are air-cooled and set to 0. 4 PV/wind follow original GCAM-China non-thermal coefficients.)
# Description: Calculate the average value by combining the proportion of cooling types in Hong Kong
# Column types: ccccncnc
# ----------
region,supplysector,subsector,technology,year,minicam.energy.input,coefficient,market.name
HK,base load generation,biomass,biomass_base_IGCC,2040,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2045,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2045,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2045,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2050,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2050,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2050,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2055,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2055,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2055,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2060,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2060,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2060,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2065,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2065,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2065,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2070,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2070,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2070,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2075,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2075,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2075,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2080,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2080,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2080,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2085,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2085,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2085,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2090,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2090,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2090,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2095,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2095,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2095,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2100,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2100,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2100,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,1975,seawater,44.22757009,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,1975,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,1975,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,1990,seawater,44.22757009,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,1990,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,1990,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2005,seawater,44.22757009,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2005,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2005,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2010,seawater,44.22757009,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2010,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2010,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2015,seawater,38.474041045,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2015,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2015,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2021,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2021,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2021,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2025,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2025,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2025,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2030,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2030,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2030,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2035,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2035,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2035,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2040,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2040,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2040,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2045,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2045,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2045,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2050,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2050,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2050,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2055,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2055,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2055,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2060,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2060,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2060,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2065,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2065,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2065,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2070,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2070,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2070,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2075,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2075,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2075,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2080,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2080,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2080,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2085,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2085,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2085,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2090,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2090,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2090,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2095,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2095,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2095,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2100,seawater,38.92433017,China
HK,base load generation,biomass,biomass_base_IGCC_CCS,2100,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC_CCS,2100,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,1975,seawater,36.303511435,China
HK,base load generation,biomass,biomass_base_conv,1975,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,1975,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,1990,seawater,36.303511435,China
HK,base load generation,biomass,biomass_base_conv,1990,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,1990,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2005,seawater,36.303511435,China
HK,base load generation,biomass,biomass_base_conv,2005,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2005,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2010,seawater,36.303511435,China
HK,base load generation,biomass,biomass_base_conv,2010,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2010,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2015,seawater,31.58081681,China
HK,base load generation,biomass,biomass_base_conv,2015,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2015,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2021,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2021,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2021,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2025,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2025,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2025,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2030,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2030,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2030,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2035,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2035,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2035,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2040,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2040,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2040,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2045,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2045,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2045,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2050,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2050,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2050,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2055,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2055,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2055,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2060,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2060,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2060,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2065,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2065,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2065,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2070,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2070,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2070,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2075,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2075,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2075,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2080,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2080,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2080,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2085,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2085,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2085,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2090,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2090,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2090,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2095,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2095,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2095,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv,2100,seawater,31.95042962,China
HK,base load generation,biomass,biomass_base_conv,2100,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv,2100,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,1975,seawater,46.891479635,China
HK,base load generation,biomass,biomass_base_conv_CCS,1975,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,1975,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,1990,seawater,46.891479635,China
HK,base load generation,biomass,biomass_base_conv_CCS,1990,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,1990,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2005,seawater,46.891479635,China
HK,base load generation,biomass,biomass_base_conv_CCS,2005,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2005,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2010,seawater,46.891479635,China
HK,base load generation,biomass,biomass_base_conv_CCS,2010,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2010,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2015,seawater,40.79140473,China
HK,base load generation,biomass,biomass_base_conv_CCS,2015,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2015,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2021,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2021,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2021,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2025,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2025,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2025,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2030,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2030,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2030,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2035,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2035,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2035,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2040,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2040,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2040,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2045,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2045,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2045,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2050,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2050,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2050,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2055,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2055,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2055,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2060,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2060,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2060,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2065,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2065,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2065,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2070,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2070,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2070,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2075,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2075,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2075,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2080,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2080,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2080,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2085,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2085,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2085,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2090,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2090,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2090,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2095,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2095,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2095,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2100,seawater,41.268815615,China
HK,base load generation,biomass,biomass_base_conv_CCS,2100,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_conv_CCS,2100,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,1975,seawater,35.040656285,China
HK,base load generation,coal,coal_base_IGCC,1975,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,1975,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,1990,seawater,35.040656285,China
HK,base load generation,coal,coal_base_IGCC,1990,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,1990,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2005,seawater,35.040656285,China
HK,base load generation,coal,coal_base_IGCC,2005,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2005,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2010,seawater,35.040656285,China
HK,base load generation,coal,coal_base_IGCC,2010,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2010,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2015,seawater,30.48224547,China
HK,base load generation,coal,coal_base_IGCC,2015,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2015,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2021,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2021,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2021,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2025,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2025,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2025,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2030,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2030,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2030,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2035,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2035,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2035,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2040,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2040,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2040,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2045,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2045,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2045,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2050,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2050,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2050,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2055,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2055,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2055,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2060,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2060,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2060,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2065,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2065,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2065,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2070,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2070,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2070,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2075,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2075,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2075,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2080,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2080,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2080,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2085,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2085,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2085,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2090,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2090,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2090,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2095,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2095,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2095,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC,2100,seawater,30.839000915,China
HK,base load generation,coal,coal_base_IGCC,2100,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC,2100,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC_CCS,1975,seawater,44.22757009,China
HK,base load generation,coal,coal_base_IGCC_CCS,1975,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC_CCS,1975,water_td_elec_W,0,HK
HK,base load generation,coal,coal_base_IGCC_CCS,1990,seawater,44.22757009,China
HK,base load generation,coal,coal_base_IGCC_CCS,1990,water_td_elec_C,0,HK
HK,base load generation,coal,coal_base_IGCC_CCS,1990,water_td_elec_W,0,HK
